text,favorite_count,retweet_count,id,score
Some examples of using get() to retrieve an R object by name using a character string:,36,8,968,52
Use skim_tee (in the skimr package) data to inspect data in a  pipe chain:,96,20,967,136
How to deploy R as a service in Azure with Kubernetes and the plumber package,34,10,966,54
How to make color-coded calendars in R:,54,6,965,66
"Just because you *can* redefine built-in functions in R doesn't mean it's a good idea. Avoid function names like c, t, sum etc.",51,7,964,145
"Free book by @ClausWilke: ""Fundamentals of Data Visualization"". R code linked in ""Technical Notes"" section.",146,48,963,242
Keep up with R by reading the R Journal:,53,20,962,321
"Introduction to AzureStor, a package to manage Blob storage, File storage, and Data Lake Storage in Azure",18,4,961,26
"Use library() to see all packages installed, search() to see all packages loaded",67,23,960,223
"In base graphics, use rug() to add a rug representation (1-d plot) of the data to a plot",11,4,959,19
The function dpih() {KernSmooth} uses the direct plug-in methodology to automatically select the bin width of a histogram,21,5,957,31
"Free e-book by @nbrgraphs and @jtrnyc ""Effective Graphs with Microsoft R Open""",43,16,956,75
BBC Visual and Data Journalism cookbook for R graphics,75,24,955,123
"Use mapply to call a multi-argument function repeatedly, e.g. mapply(sample, list(1:56, 1:46), c(5,1))",33,11,954,117
Use unname() to remove the names of an R object,39,9,953,86
Send an R valentine,16,5,952,64
Walkthroughs of data analyses using SQL Server and R under the Team Data Science Process,28,8,951,44
Getting started with Tensorflow Probability from R,58,12,950,82
agnes() (in the cluster package) implements 6 methods of agglomerative clustering,17,5,949,27
"Use saveRDS(obj,""myfile"") and readRDS(obj,""myfile"") to save / read an R object to / from a file",35,9,948,81
"xor(x,y) (element wise exclusive OR) is one of R's logical operators",18,6,947,59
Free hosted Jupyter notebooks with R support: Azure Notebooks,28,8,946,44
Use containers for reproducibility: Introduction to Docker for R users,63,21,945,105
Locate the largest number in a vector with which.max(mydata),28,10,944,48
"If ch is a character vector, then noquote(ch) prints it without the usual quotes surrounding each element",57,7,943,88
How to generate Outlook email notifications from R:,72,14,941,100
"Hydrology Data and Modeling, a CRAN task view listing packages for the analysis of movement, distribution and quality of water and water resources",16,5,940,26
"tail(x, n) shows the last n elements of x if n is positive, all but the first |n| elements if n is negative",26,7,939,42
Get started debugging by adding a browser() call to your function,20,4,938,28
"""How do I?..."": 200 R idioms for common tasks from @sharon000, author of Practical R for Mass Communication and Journalism",147,46,937,239
"A free, 4-week online course for beginners: ""Introduction to R for Data Science""",65,25,936,301
Online help for the ggplot2 graphics package,77,29,935,135
Get financial data and more from Quandl with R,30,9,934,128
"Compute or estimate the condition number of a matrix: 
kappa(M)",18,6,933,35
"Got duration data, but some of the events are incomplete? Fit a Cox Proportional Hazards Regression Model with the coxph() function in the survival package",33,9,932,51
How to use R in an Azure VM with Microsoft ML Server:,21,5,931,31
"Lightweight, dependency-free package for installing R packages from Github, etc: remotes",24,3,930,30
"Calculate running 30-day means of daily values in vector x: filter(x,rep(1/30,30))",51,15,929,81
"Leave out the mth column of a data frame: 
dF[,-m]",24,6,928,84
Use clusterboot() in the fpc package to help assess the stability of cluster classifications,27,7,927,41
