status_id,created_at,text,favorite_count,retweet_count,score
1104094432016715777,2019-03-08T19:00:00Z,Some examples of using get() to retrieve an R object by name using a character string: https://t.co/JHkMGFzAF7 #rstats,34,8,50
1103732043979124737,2019-03-07T19:00:00Z,Use skim_tee (in the skimr package) data to inspect data in a #rstats pipe chain: https://t.co/72npuPWyY4,94,20,134
1103369661440233472,2019-03-06T19:00:01Z,How to deploy R as a service in Azure with Kubernetes and the plumber package https://t.co/wLVFx3ChDo #rstats,34,10,54
1103007269485129728,2019-03-05T19:00:00Z,How to make color-coded calendars in R: https://t.co/V28ExP2Hnp #rstats,54,6,66
1102644880524873728,2019-03-04T19:00:00Z,"Just because you *can* redefine built-in functions in R doesn't mean it's a good idea. Avoid function names like c, t, sum etc. #rstats",51,7,65
1101557719553564673,2019-03-01T19:00:00Z,"Free book by @ClausWilke: ""Fundamentals of Data Visualization"". R code linked in ""Technical Notes"" section. https://t.co/lS8sIkVedS #rstats",146,48,242
1101195329074978817,2019-02-28T19:00:00Z,Keep up with R by reading the R Journal: https://t.co/PVl91vnweg #rstats,53,20,93
1100832945831534592,2019-02-27T19:00:01Z,"Introduction to AzureStor, a package to manage Blob storage, File storage, and Data Lake Storage in Azure https://t.co/ws6hH6zyzg #rstats",18,4,26
1100470556078600192,2019-02-26T19:00:00Z,"Use library() to see all packages installed, search() to see all packages loaded #rstats https://t.co/RozRAq2T3c",67,23,113
1100108170943492096,2019-02-25T19:00:01Z,"In base graphics, use rug() to add a rug representation (1-d plot) of the data to a plot https://t.co/OcAqhjqaOD #rstats",11,4,19
1098990810404712448,2019-02-22T17:00:02Z,"? is a shortcut for help(). ?? is a shortcut for https://t.co/as9rMAfdob(). Use ""packagename::query"" to restrict the search to a specific package. https://t.co/MOD92teHI0 #rstats",23,6,35
1098628420018294784,2019-02-21T17:00:01Z,The function dpih() {KernSmooth} uses the direct plug-in methodology to automatically select the bin width of a histogram https://t.co/CfJN4vOYem #rstats,21,5,31
1098266036095340546,2019-02-20T17:00:02Z,"Free e-book by @nbrgraphs and @jtrnyc ""Effective Graphs with Microsoft R Open"" https://t.co/Z3Ox4c9vur #rstats",43,16,75
1097903646241705984,2019-02-19T17:00:01Z,BBC Visual and Data Journalism cookbook for R graphics https://t.co/GoQU4MkKSp #rstats,75,24,123
1097541255091896322,2019-02-18T17:00:01Z,"Use mapply to call a multi-argument function repeatedly, e.g. mapply(sample, list(1:56, 1:46), c(5,1)) #rstats https://t.co/ZxuiovANpJ",33,11,55
1096454088777035777,2019-02-15T17:00:00Z,Use unname() to remove the names of an R object #rstats https://t.co/sClPwUofbW,39,9,57
1096091713968340993,2019-02-14T17:00:03Z,Send an R valentine https://t.co/Tqccke54Bf #rstats,16,5,26
1095729316997017600,2019-02-13T17:00:01Z,Walkthroughs of data analyses using SQL Server and R under the Team Data Science Process https://t.co/oTxnemdrVA #rstats,28,8,44
1095366930100338690,2019-02-12T17:00:01Z,Getting started with Tensorflow Probability from R https://t.co/Wy3ox3CsVn #rstats,58,12,82
1095034736093945856,2019-02-11T19:00:00Z,agnes() (in the cluster package) implements 6 methods of agglomerative clustering https://t.co/1AagkTGy8v #rstats,17,5,27
