Tip,Author,Last Sent,Category
Use as.dendrogram() to prepare hierarchical clusters or trees for plotting #rstats http://bit.ly/1sshY0I,Joseph Rickert,2010-06-09T00:00:00Z,NA
as.numeric() takes a string representation of a number and returns a number,John D Cook,2011-07-28T00:00:00Z,NA
Calling R from Python with RPy http://rpy.sourceforge.net/,John D Cook,2011-07-28T00:00:00Z,NA
Efficiency tip: pre-allocate large vectors to their final size rather than letting them grow dynamically.,John D Cook,2011-07-28T00:00:00Z,NA
Evaluate a buffer of R code in ESS (Emacs Speaks Statistics): C-c C-b,John D Cook,2011-07-28T00:00:00Z,NA
Evaluate a region of R code in ESS (Emacs Speaks Statistics): C-c C-r,John D Cook,2011-07-28T00:00:00Z,NA
"In Emacs, you can embed R code in org-mode files analogous to the way Sweave lets you embed R in LaTeX.",John D Cook,2011-07-28T00:00:00Z,NA
"R ranges are closed, e.g. 3:5 includes 3, 4, and 5. (Other languages, such as Python, would not include the 5.)",John D Cook,2011-07-28T00:00:00Z,NA
R uses a caret (^) for exponentiation. e.g. 2^10 = 1024.,John D Cook,2011-07-28T00:00:00Z,NA
RExcel lets you integrate R and Microsoft Excel http://rcom.univie.ac.at/,John D Cook,2011-07-28T00:00:00Z,NA
Step through R code in ESS (Emacs Speaks Statistics): C-c C-n,John D Cook,2011-07-28T00:00:00Z,NA
Sweave is a tool for embedding R code inside a LaTeX document. Introduction to Sweave: http://bit.ly/9JG6WH,John D Cook,2011-07-28T00:00:00Z,NA
"Thesaurus of Mathematical Languages: R, Matlab, Python http://mathesaurus.sourceforge.net/",John D Cook,2011-07-28T00:00:00Z,NA
Troubleshooting Sweave http://bit.ly/bLEcCe,John D Cook,2011-07-28T00:00:00Z,NA
Using R with the Apache web server http://biostat.mc.vanderbilt.edu/rapache/,John D Cook,2011-07-28T00:00:00Z,NA
Writing an R package that uses Rcpp http://bit.ly/oB7oeL,John D Cook,2011-07-28T00:00:00Z,NA
Evaluate a buffer of R code in ESS (Emacs Speaks Statistics): C-c C-b,John D Cook,2011-08-03T00:00:00Z,NA
The Art of R Programming by Norman Matloff http://ow.ly/5UKg6,John D Cook,2011-08-03T00:00:00Z,NA
Advanced R development http://ow.ly/5UKow by @hadleywickham,John D Cook,2011-08-04T00:00:00Z,NA
"In Emacs, you can embed R code in org-mode files analogous to the way Sweave lets you embed R in LaTeX.",John D Cook,2011-08-04T00:00:00Z,NA
Learning R for Researchers in Psychology http://ow.ly/5UKmX by @JeromyAnglim,John D Cook,2011-08-04T00:00:00Z,NA
Higher-order functions in R http://ow.ly/5UKju by @johnmyleswhite,John D Cook,2011-08-05T00:00:00Z,NA
Search for #rstats on Twitter for conversations about R: http://bit.ly/n60XJM,David Smith,2011-08-31T00:00:00Z,NA
Installing R and packages on a linux box without root acess http://onertipaday.blogspot.com/2008/04/r-installing-on-unixlinux-no-root.html,Saar Golde,2011-09-09T00:00:00Z,NA
"To create a custom plot, set up axes with plot(...,type=""n""), then annotate with points, lines, text etc. #rstats",David Smith,2011-09-23T00:00:00Z,NA
"You can use Google Spreadsheets as a data editor, and import the data into R: http://bit.ly/nEZQk2 #rstats",David Smith,2011-11-01T00:00:00Z,NA
List of R functions and packages for Computational Econometrics: http://bit.ly/oeWdui #rstats,David Smith,2011-11-21T00:00:00Z,Task View
"Use the rasterimage function to insert images (imported from GIFs, etc) into an R chart: http://bit.ly/uuhyit #rstats",David Smith,2011-12-02T00:00:00Z,NA
"R scripts for reading data from files, with equivalent code in #SAS and #SPSS: http://bit.ly/qyjWr0 #rstats",David Smith,2011-12-16T00:00:00Z,NA
Write map-reduce tasks for big data in #Hadoop with the rmr package: http://bit.ly/qCEtn7 #rstats,David Smith,2012-01-02T00:00:00Z,NA
"For highest-quality R graphics on the web, use the SVG device (but check browser compatibility) http://bit.ly/nx2QWZ #rstats",David Smith,2012-01-04T00:00:00Z,NA
List of R functions and packages for finance and risk management: http://bit.ly/mVysYe #rstats,David Smith,2012-01-26T00:00:00Z,NA
"Common style for comments is # on a line of #rstats code, ## within functions, and ### at the top level of scripts. ESS indents accordingly",David Smith,2012-02-02T00:00:00Z,NA
How to install R on an Android device: http://bit.ly/waAR5v #rstats,David Smith,2012-02-08T00:00:00Z,NA
"In R for MacOS X, Command-Enter sends the selected commands from the script window to the command line #rstats",David Smith,2012-02-10T00:00:00Z,NA
List of R packages for comparative phylogenetics (evolutionary relatedness in ancestral family trees): http://bit.ly/wEsIlS #rstats,David Smith,2012-02-20T00:00:00Z,NA
"Good for journals, etc: create EPS graphics file: setEPS(); postscript(""mychart.eps""); plot( <whatever> ); dev.off() # http://bit.ly/AcyE6T",David Smith,2012-03-06T00:00:00Z,function
"RT @civilstat For quick edits to shapefile .dbf, Excel is finicky; thank goodness for R's write.dbf() http://bit.ly/Ap6TbH #rstats",@civilstat,2012-03-07T00:00:00Z,tip
List of R packages for design of experiments and analysis of experimental data: http://bit.ly/wSwsQA #rstats,David Smith,2012-03-26T00:00:00Z,package
List of R packages for the analysis of pharmacokinetic (drug dose/response) data: http://bit.ly/wp6kZo #rstats,David Smith,2012-04-02T00:00:00Z,package
A list of funny Easter eggs in R packages: http://bit.ly/H9BMYq #rstats,David Smith,2012-04-13T00:00:00Z,NA
List of R packages for psychometrics (measurement of human characteristics): http://bit.ly/xCHKY8 #rstats,David Smith,2012-04-23T00:00:00Z,package
Example of using the twitteR package for sentiment analysis of tweets: http://bit.ly/ubNibd #rstats,David Smith,2012-06-07T00:00:00Z,NA
The R Ecosystem: http://bitly.com/R-ecosystem #rstats,David Smith,2012-06-12T00:00:00Z,NA
"On Windows, use odbcConnectExcel/sqlQuery from package RODBC to extract data from Excel worksheets via SQL http://bit.ly/L22Wbm #rstats",David Smith,2012-06-28T00:00:00Z,NA
"Create dynamic, interactive graphics for the Web with the gridSVG package: http://bit.ly/ODuLqM #rstats",David Smith,2012-08-01T00:00:00Z,NA
List of R functions and packages for Bayesian inference: http://bit.ly/r8OL7C #rstats,David Smith,2012-09-12T00:00:00Z,Task View
Resources for spatial data analysis with R: http://bit.ly/TN8ryt #rstats,David Smith,2012-10-01T00:00:00Z,NA
"In R scripts that access files, use relative (not absolute) file names to make the script portable. #rstats",David Smith,2012-11-07T00:00:00Z,NA
Cheat sheet for geospatial data analysis in #rstats (by @geospacedman): http://bit.ly/RYUtGK,David Smith,2012-11-16T00:00:00Z,NA
"On a Mac, read from the clipboard with scan(pipe(""pbpaste""), what=character(0), sep=""\n"") #rstats",David Smith,2012-11-27T00:00:00Z,NA
List of R functions and packages for Optimization and Mathematical Programming: http://bit.ly/qnRaaf #rstats,David Smith,2012-12-10T00:00:00Z,Task View
